epoch,split,query_idx,h,r,t,rank,is_reciprocal
0,val,0,1026,1,2209,2514,0
0,val,1,2313,1,31,2141,0
0,val,2,474,4,1958,794,0
0,val,3,1751,1,211,99,0
0,val,4,1136,1,395,2388,0
0,val,5,66,2,997,2710,0
0,val,6,1196,1,953,664,0
0,val,7,2025,0,577,49,0
0,val,8,1168,5,86,2004,0
0,val,9,2424,1,79,1480,0
0,val,10,53,1,34,847,0
0,val,11,810,1,930,2540,0
0,val,12,2411,0,810,900,0
0,val,13,2386,6,2625,512,0
0,val,14,140,1,1900,1508,0
0,val,15,434,0,2078,714,0
0,val,16,2515,0,2166,2090,0
0,val,17,1474,1,676,571,0
0,val,18,918,1,923,2060,0
0,val,19,552,1,1098,2660,0
0,val,20,2582,1,849,417,0
0,val,21,1397,1,49,164,0
0,val,22,2504,1,662,2481,0
0,val,23,2311,1,1389,2006,0
0,val,24,381,5,380,259,0
0,val,25,1863,1,1862,2644,0
0,val,26,2104,1,1399,2147,0
0,val,27,1765,2,2633,2344,0
0,val,28,1722,0,11,1404,0
0,val,29,1338,1,2457,1376,0
0,val,30,2022,3,42,1946,0
0,val,31,312,1,976,1683,0
0,val,32,2639,0,1809,732,0
0,val,33,2133,1,23,11,0
0,val,34,396,1,357,952,0
0,val,35,1185,4,1656,2644,0
0,val,36,2619,0,1217,1806,0
0,val,37,2602,1,1270,2452,0
0,val,38,79,2,1830,1416,0
0,val,39,952,1,25,487,0
0,val,40,906,0,519,2236,0
0,val,41,79,2,1861,459,0
0,val,42,93,0,430,586,0
0,val,43,2674,5,918,217,0
0,val,44,1865,0,143,686,0
0,val,45,826,1,1836,1185,0
0,val,46,1205,1,2243,2664,0
0,val,47,1432,1,1431,2391,0
0,val,48,1895,0,1018,85,0
0,val,49,1202,2,1149,675,0
0,val,50,34,1,2300,2135,0
0,val,51,1087,1,173,458,0
0,val,52,285,1,2512,358,0
0,val,53,943,1,1806,2693,0
0,val,54,150,1,1068,585,0
0,val,55,1123,0,399,2378,0
0,val,56,317,4,2115,2730,0
0,val,57,363,1,2013,2694,0
0,val,58,1429,0,143,730,0
0,val,59,2497,0,230,669,0
0,val,60,1930,0,256,159,0
0,val,61,2581,1,620,2560,0
0,val,62,751,1,936,2443,0
0,val,63,2012,1,583,1641,0
0,val,64,2653,1,1771,348,0
0,val,65,413,0,1600,2433,0
0,val,66,12,1,334,2255,0
0,val,67,671,5,2132,774,0
0,val,68,2398,1,2655,959,0
0,val,69,2413,4,1467,1003,0
0,val,70,287,3,249,1,0
0,val,71,1859,1,2054,2635,0
0,val,72,1900,1,140,1371,0
0,val,73,327,1,10,939,0
0,val,74,862,1,1806,2689,0
0,val,75,2614,1,2273,1318,0
0,val,76,1770,1,225,2472,0
0,val,77,1975,1,1260,308,0
0,val,78,459,1,409,184,0
0,val,79,1796,0,2516,2225,0
0,val,80,54,1,102,103,0
0,val,81,5,0,810,39,0
0,val,82,2561,1,62,1955,0
0,val,83,797,1,2142,1558,0
0,val,84,2299,0,2154,1987,0
0,val,85,8,1,1722,1009,0
0,val,86,173,1,1087,512,0
0,val,87,114,0,803,2734,0
0,val,88,848,1,847,2670,0
0,val,89,537,1,1538,1249,0
0,val,90,871,0,1502,1773,0
0,val,91,1391,0,1790,1180,0
0,val,92,329,1,271,1215,0
0,val,93,427,1,426,1554,0
0,val,94,295,1,665,2626,0
0,val,95,1705,1,439,1176,0
0,val,96,1860,0,561,826,0
0,val,97,764,2,1765,2732,0
0,val,98,1016,1,2599,2595,0
0,val,99,641,1,1075,1056,0
0,val,100,139,0,932,1905,0
0,val,101,2421,0,12,1331,0
0,val,102,452,1,151,896,0
0,val,103,1472,5,1613,2306,0
0,val,104,997,2,1621,2732,0
0,val,105,1230,1,978,2420,0
0,val,106,1280,1,29,1466,0
0,val,107,2092,1,1504,2360,0
0,val,108,2455,1,1319,2726,0
0,val,109,2255,1,211,68,0
0,val,110,77,4,767,1125,0
0,val,111,150,1,1952,409,0
0,val,112,637,1,2187,2624,0
0,val,113,35,1,981,2384,0
0,val,114,1428,0,1235,2337,0
0,val,115,1148,4,928,1272,0
0,val,116,1056,1,843,2591,0
0,val,117,1230,0,1348,2167,0
0,val,118,79,1,879,188,0
0,val,119,2519,1,554,2730,0
0,val,120,631,0,283,175,0
0,val,121,564,1,1945,2613,0
0,val,122,1137,1,1136,1871,0
0,val,123,738,0,1641,2044,0
0,val,124,2472,1,1190,2406,0
0,val,125,1245,1,347,510,0
0,val,126,672,1,64,2029,0
0,val,127,233,1,1854,2568,0
0,val,128,1965,1,1964,2690,0
0,val,129,1415,0,1661,1486,0
0,val,130,238,1,237,2424,0
0,val,131,1999,1,941,1748,0
0,val,132,2196,0,969,1717,0
0,val,133,2384,1,1488,2183,0
0,val,134,462,1,912,281,0
0,val,135,1896,3,957,136,0
0,val,136,1722,1,849,461,0
0,val,137,631,5,798,899,0
0,val,138,2456,1,550,2621,0
0,val,139,1286,1,660,1728,0
0,val,140,2237,1,1353,2477,0
0,val,141,1279,1,2611,2654,0
0,val,142,116,2,234,1170,0
0,val,143,777,0,328,1368,0
0,val,144,2134,1,194,2514,0
0,val,145,2013,0,494,2070,0
0,val,146,853,1,1420,1646,0
0,val,147,10,1,34,1019,0
0,val,148,1710,1,148,247,0
0,val,149,215,1,561,427,0
0,val,150,1986,1,468,2262,0
0,val,151,952,0,479,332,0
0,val,152,1859,1,992,2666,0
0,val,153,1569,5,1988,1105,0
0,val,154,756,0,525,347,0
0,val,155,140,1,461,2573,0
0,val,156,773,1,2001,2527,0
0,val,157,1159,0,1722,878,0
0,val,158,1859,1,773,1172,0
0,val,159,1270,0,490,427,0
0,val,160,1498,0,1814,2560,0
0,val,161,2260,1,371,838,0
0,val,162,1303,1,315,2143,0
0,val,163,1938,1,1319,2562,0
0,val,164,531,1,336,143,0
0,val,165,147,0,2535,2377,0
0,val,166,841,0,1695,2197,0
0,val,167,2030,0,2614,435,0
0,val,168,141,1,394,444,0
0,val,169,2197,0,45,2565,0
0,val,170,999,4,2529,1342,0
0,val,171,349,1,746,553,0
0,val,172,1658,0,2042,1298,0
0,val,173,1176,0,1538,1387,0
0,val,174,99,1,71,202,0
0,val,175,1196,1,541,39,0
0,val,176,979,1,1773,2594,0
0,val,177,547,0,383,1476,0
0,val,178,556,1,2074,2217,0
0,val,179,875,1,2364,1967,0
0,val,180,2550,0,2687,46,0
0,val,181,148,1,55,923,0
0,val,182,1180,0,1631,1903,0
0,val,183,344,1,230,518,0
0,val,184,1099,1,2195,690,0
0,val,185,1035,1,2069,2341,0
0,val,186,595,1,2664,1699,0
0,val,187,234,1,233,251,0
0,val,188,19,1,662,2553,0
0,val,189,1620,2,997,2351,0
0,val,190,1794,0,480,2049,0
0,val,191,2641,1,454,1857,0
0,val,192,2026,1,459,55,0
0,val,193,371,1,1691,2128,0
0,val,194,531,1,1671,2333,0
0,val,195,1829,1,525,406,0
0,val,196,601,1,221,331,0
0,val,197,1916,1,1161,2658,0
0,val,198,618,1,417,1335,0
0,val,199,263,0,2226,2124,0
0,val,200,938,1,2559,2552,0
0,val,201,2412,0,62,1959,0
0,val,202,809,1,1005,1707,0
0,val,203,1753,0,1174,2221,0
