pattern,n_swapped_params,base_mrr,swapped_mrr,base_h10,swapped_h10,base_ep,source_ep
(pure source — reference),-1,0.3101182999779498,0.40172784450838545,0.7579787234042553,0.6861702127659575,20,6
self_attn\.K\.weight,5,0.3101182999779498,0.36227143149951446,0.7579787234042553,0.7898936170212766,20,6
self_attn\.V\.weight,5,0.3101182999779498,0.2981967679789708,0.7579787234042553,0.7313829787234043,20,6
self_attn\.Q\.weight,5,0.3101182999779498,0.31842569683106076,0.7579787234042553,0.7606382978723404,20,6
ff_linear,20,0.3101182999779498,0.32178872657731405,0.7579787234042553,0.7686170212765957,20,6
post_mp\.rel_emb,1,0.3101182999779498,0.3101182999779498,0.7579787234042553,0.7579787234042553,20,6
post_mp\.scorer,2,0.3101182999779498,0.3059772564346815,0.7579787234042553,0.7659574468085106,20,6
encoder\.node_encoder,1,0.3101182999779498,0.31028584929599157,0.7579787234042553,0.7579787234042553,20,6
encoder\.edge_encoder,1,0.3101182999779498,0.30572432709345665,0.7579787234042553,0.7579787234042553,20,6
encoder\.exp_edge_fixer,2,0.3101182999779498,0.31029243761978414,0.7579787234042553,0.7632978723404256,20,6
shared_rel_emb_table,5,0.3101182999779498,0.34917101452314686,0.7579787234042553,0.773936170212766,20,6
proj_q,5,0.3101182999779498,0.36360542186280165,0.7579787234042553,0.776595744680851,20,6
proj_k,5,0.3101182999779498,0.3103062759878606,0.7579787234042553,0.7579787234042553,20,6
proj_e,5,0.3101182999779498,0.3109010563510909,0.7579787234042553,0.7579787234042553,20,6
proj_vg,5,0.3101182999779498,0.31186129690443704,0.7579787234042553,0.7606382978723404,20,6
V_gate,5,0.3101182999779498,0.2815550832897927,0.7579787234042553,0.726063829787234,20,6
norm1_attn,10,0.3101182999779498,0.30314026491165275,0.7579787234042553,0.7632978723404256,20,6
norm2,10,0.3101182999779498,0.3117684143656397,0.7579787234042553,0.7606382978723404,20,6
^layers\.,90,0.3101182999779498,0.38951522515944004,0.7579787234042553,0.6914893617021277,20,6
